localite_norm,excel_n_wl,excel_n_wp,excel_n_ip_calc,excel_wl_mean,excel_wp_mean,excel_ip_calc_mean,db_n_wl,db_n_wp,db_n_ip_calc,db_wl_mean,db_wp_mean,db_ip_calc_mean,abs_diff_wl,abs_diff_wp,abs_diff_ip,threshold,status
abobo,3,3,3,28.923333333333332,12.866666666666667,16.056666666666665,3,3,3,28.923333333333332,12.866666666666667,16.056666666666665,0.0,0.0,0.0,0.1,OK
adetikope,3,3,3,38.766666666666666,14.066666666666666,24.7,3,3,3,38.766666666666666,14.066666666666666,24.7,0.0,0.0,0.0,0.1,OK
adjengre (pounpoun),0,0,0,,,,3,3,3,58.14666666666667,27.963333333333335,30.183333333333334,,,,0.1,NO_COMPARABLE_VALUES
adjengre (pounpouni),3,3,3,58.14666666666667,27.963333333333335,30.183333333333334,3,3,3,58.14666666666667,27.963333333333335,30.183333333333334,0.0,0.0,0.0,0.1,OK
agotive,3,3,3,50.25666666666667,18.54,31.716666666666665,3,3,3,50.25666666666667,18.54,31.716666666666665,0.0,0.0,0.0,0.1,OK
akei,3,3,3,47.31666666666667,31.5,15.816666666666666,3,3,3,47.31666666666667,31.5,15.816666666666666,0.0,0.0,0.0,0.1,OK
akepe,3,3,3,17.883333333333333,10.3,7.583333333333333,3,3,3,17.883333333333333,10.3,7.583333333333333,0.0,0.0,0.0,0.1,OK
alibi,3,3,3,30.986666666666668,16.526666666666667,14.459999999999999,3,3,3,30.986666666666668,16.526666666666667,14.459999999999999,0.0,0.0,0.0,0.1,OK
anie,3,3,3,56.943333333333335,20.893333333333334,36.05,3,3,3,56.943333333333335,20.893333333333334,36.05,0.0,0.0,0.0,0.1,OK
apeheme,3,3,3,42.03333333333333,22.333333333333332,19.7,3,3,3,42.03333333333333,22.333333333333332,19.7,0.0,0.0,0.0,0.1,OK
apessito,3,3,3,42.29666666666667,18.166666666666664,24.13,3,3,3,42.29666666666667,18.166666666666664,24.13,0.0,0.0,0.0,0.1,OK
apeyeyeme,3,3,3,42.03333333333333,22.333333333333332,19.7,3,3,3,42.03333333333333,22.333333333333332,19.7,0.0,0.0,0.0,0.1,OK
assahoun,3,3,3,35.666666666666664,17.666666666666668,18.0,3,3,3,35.666666666666664,17.666666666666668,18.0,0.0,0.0,0.0,0.1,OK
badja,3,3,3,51.0,17.666666666666668,33.333333333333336,3,3,3,51.0,17.666666666666668,33.333333333333336,0.0,0.0,0.0,0.1,OK
badome,3,3,3,51.4,29.0,22.4,3,3,3,51.4,29.0,22.4,0.0,0.0,0.0,0.1,OK
bassar (kpankissi),3,3,3,32.666666666666664,22.773333333333333,9.893333333333333,3,3,3,32.666666666666664,22.773333333333333,9.893333333333333,0.0,0.0,0.0,0.1,OK
belgique,3,3,3,26.776666666666667,14.206666666666667,12.57,3,3,3,26.776666666666667,14.206666666666667,12.57,0.0,0.0,0.0,0.1,OK
bitchabe,3,3,3,29.003333333333334,12.933333333333334,16.07,3,3,3,29.003333333333334,12.933333333333334,16.07,0.0,0.0,0.0,0.1,OK
bohou,3,3,3,41.56,12.87,28.69,3,3,3,41.56,12.87,28.69,0.0,0.0,0.0,0.1,OK
campement,3,3,3,56.61,28.256666666666668,28.35333333333333,3,3,3,56.61,28.256666666666668,28.35333333333333,0.0,0.0,0.0,0.1,OK
dalave,3,3,3,25.333333333333332,11.663333333333334,13.67,3,3,3,25.333333333333332,11.663333333333334,13.67,0.0,0.0,0.0,0.1,OK
dikame,3,3,3,56.86666666666667,13.916666666666666,42.949999999999996,3,3,3,56.86666666666667,13.916666666666666,42.949999999999996,0.0,0.0,0.0,0.1,OK
dimouri,3,3,3,20.13,9.68,10.45,3,3,3,20.13,9.68,10.45,0.0,0.0,0.0,0.1,OK
djagble,3,3,3,23.473333333333333,14.6,8.873333333333333,3,3,3,23.473333333333333,14.6,8.873333333333333,0.0,0.0,0.0,0.1,OK
djidjole,3,3,3,25.433333333333334,13.846666666666668,11.586666666666666,3,3,3,25.433333333333334,13.846666666666668,11.586666666666666,0.0,0.0,0.0,0.1,OK
doutikope,3,3,3,41.65,15.950000000000001,25.7,3,3,3,41.65,15.950000000000001,25.7,0.0,0.0,0.0,0.1,OK
dzogbekome,0,0,0,,,,3,3,3,44.126666666666665,20.8,23.326666666666668,,,,0.1,NO_COMPARABLE_VALUES
dzogbekope,3,3,3,44.126666666666665,20.8,23.326666666666668,3,3,3,44.126666666666665,20.8,23.326666666666668,0.0,0.0,0.0,0.1,OK
gbatope,3,3,3,38.163333333333334,21.003333333333334,17.16,3,3,3,38.163333333333334,21.003333333333334,17.16,0.0,0.0,0.0,0.1,OK
hahotoe,3,3,3,34.0,17.666666666666668,16.333333333333332,3,3,3,34.0,17.666666666666668,16.333333333333332,0.0,0.0,0.0,0.1,OK
kabou (okpandoukpo),0,0,0,,,,3,3,3,26.0,11.0,15.0,,,,0.1,NO_COMPARABLE_VALUES
kabou (okpandoupo),3,3,3,26.0,11.0,15.0,3,3,3,26.0,11.0,15.0,0.0,0.0,0.0,0.1,OK
kadambara,3,3,3,38.053333333333335,12.473333333333333,25.580000000000002,3,3,3,38.053333333333335,12.473333333333333,25.580000000000002,0.0,0.0,0.0,0.1,OK
kamina barrage,3,3,3,48.24666666666666,11.593333333333334,36.653333333333336,3,3,3,48.24666666666666,11.593333333333334,36.653333333333336,0.0,0.0,0.0,0.1,OK
kamina dakre,3,3,3,52.336666666666666,18.333333333333332,34.00333333333334,3,3,3,52.336666666666666,18.333333333333332,34.00333333333334,0.0,0.0,0.0,0.1,OK
kaniamboua (bago),3,3,3,45.916666666666664,21.303333333333335,24.613333333333333,3,3,3,45.916666666666664,21.303333333333335,24.613333333333333,0.0,0.0,0.0,0.1,OK
