    column_name     |        data_type         
--------------------+--------------------------
 id                 | uuid
 code               | text
 localite_canon     | text
 localite           | text
 source             | text
 localite_key       | text
 adm1_name          | text
 adm2_name          | text
 adm3_name          | text
 adm3_id            | integer
 geom               | USER-DEFINED
 geom_geojson       | jsonb
 location_mode      | text
 location_accuracy  | text
 is_geocoded        | boolean
 has_geom           | boolean
 has_adm3           | boolean
 date               | date
 date_sondage       | text
 operator           | text
 notes              | text
 comment            | text
 meta               | text
 nb_sondages_source | integer
 created_at         | timestamp with time zone
 updated_at         | timestamp with time zone
 deleted_at         | timestamp with time zone
(27 rows)

