iter	RMSE
0	2.196182812
1	2.077127236
2	1.965276302
3	1.861583336
4	1.763961929
5	1.671785348
6	1.585841178
7	1.506647951
8	1.432626659
9	1.362843684
10	1.297319323
11	1.237996929
12	1.181230389
13	1.130093091
14	1.081002764
15	1.035897221
16	0.9937659042
17	0.9550128157
18	0.9189172362
19	0.8853019472
20	0.8546083213
21	0.8264699801
22	0.8008441706
23	0.7764450243
24	0.7545333085
25	0.7343753571
26	0.7156436331
27	0.698816132
28	0.6829769167
29	0.6695314288
30	0.6565712962
31	0.6449741945
32	0.6336786225
33	0.6237693001
34	0.6145501635
35	0.6059349596
36	0.5982389282
37	0.5913061037
38	0.5849055659
39	0.579283394
40	0.5738882816
41	0.568842103
42	0.5642130828
43	0.5600767121
44	0.5562405838
45	0.5530036089
46	0.5498904426
47	0.547065002
48	0.5445342478
49	0.5423737437
50	0.5405573401
51	0.5385079494
52	0.5367184157
53	0.5351316956
54	0.5335983621
55	0.532485293
56	0.5313520767
57	0.5310096063
58	0.5306620964
59	0.5293834413
60	0.5280826102
61	0.5270128264
62	0.5265710108
63	0.5258370448
64	0.5252825576
65	0.5242021866
66	0.5239912145
67	0.5237012468
68	0.5229828142
69	0.5227519975
70	0.5220614664
71	0.521371913
72	0.5204012999
73	0.5195203591
74	0.5189847661
75	0.5185853786
76	0.5180491776
77	0.5177713234
78	0.5175877426
79	0.5167506394
80	0.5161966455
81	0.5159382461
82	0.5158108206
83	0.5154218988
84	0.514637706
85	0.5139516503
86	0.5134183004
87	0.5129464201
88	0.512823236
89	0.5124389978
90	0.5121625822
91	0.5117677589
92	0.5116066807
93	0.5115007435
94	0.5110992487
95	0.5108472708
96	0.5106344921
97	0.5104825632
98	0.5102446182
99	0.5100943043
100	0.5099934109
101	0.5098418169
102	0.5097601092
103	0.5095131782
104	0.5094122681
105	0.5090922384
106	0.5090090846
107	0.5089421078
108	0.5086918224
109	0.5086167025
110	0.5083946445
111	0.5082445958
112	0.5080368067
113	0.507977951
114	0.5079299403
115	0.5078188334
116	0.5074829813
117	0.5072605744
118	0.5070869569
119	0.5069149154
120	0.5068740784
121	0.5068176182
122	0.5066992078
123	0.5066110706
124	0.5063643306
125	0.5062818379
126	0.5061156561
127	0.5059823671
128	0.5058202921
129	0.505590244
130	0.50554987
131	0.5054121944
132	0.5053554543
133	0.5051894247
