iter	Passed	Remaining
0	137	54808
1	143	28583
2	148	19670
3	153	15226
4	161	12764
5	167	11030
6	172	9668
7	178	8762
8	183	7993
9	187	7322
10	194	6877
11	204	6613
12	209	6227
13	215	5928
14	218	5608
15	221	5327
16	225	5078
17	229	4872
18	235	4713
19	239	4550
20	243	4395
21	251	4322
22	258	4239
23	264	4145
24	270	4053
25	283	4077
26	289	4003
27	295	3929
28	299	3825
29	304	3750
30	308	3672
31	316	3634
32	323	3597
33	330	3557
34	338	3534
35	345	3491
36	352	3457
37	356	3400
38	361	3346
39	365	3292
40	370	3248
41	376	3209
42	382	3172
43	388	3146
44	393	3102
45	400	3079
46	404	3040
47	408	2997
48	412	2951
49	416	2914
50	421	2885
51	427	2859
52	431	2825
53	436	2794
54	439	2759
55	443	2726
56	447	2693
57	451	2660
58	455	2631
59	459	2601
60	463	2576
61	468	2552
62	471	2524
63	475	2498
64	479	2469
65	482	2442
66	486	2415
67	489	2390
68	494	2372
69	498	2349
70	503	2331
71	507	2310
72	511	2291
73	516	2273
74	520	2254
75	524	2237
76	529	2221
77	533	2203
78	538	2187
79	542	2171
80	546	2153
81	551	2139
82	554	2116
83	559	2103
84	563	2089
85	569	2077
86	573	2063
87	577	2048
88	582	2035
89	586	2019
90	592	2010
91	596	1997
92	600	1983
93	603	1966
94	608	1952
95	612	1939
96	617	1927
97	621	1913
98	625	1902
99	629	1889
100	633	1876
101	638	1864
102	643	1855
103	647	1843
104	652	1832
105	657	1823
106	660	1808
107	665	1800
108	670	1789
109	674	1779
110	678	1767
111	683	1758
112	688	1749
113	692	1737
114	695	1724
115	699	1712
116	704	1703
117	708	1693
118	712	1681
119	716	1671
120	720	1661
121	722	1646
122	726	1636
123	730	1625
124	735	1617
125	739	1608
126	743	1597
127	748	1589
128	752	1580
129	757	1572
130	761	1564
131	766	1555
132	770	1546
133	774	1538
134	778	1529
135	783	1520
136	787	1511
137	791	1502
138	795	1494
139	801	1487
140	804	1478
141	809	1470
142	812	1460
143	816	1451
144	821	1444
145	826	1437
146	829	1427
147	834	1421
148	839	1414
149	843	1405
150	847	1398
151	852	1390
152	856	1382
153	861	1376
154	867	1370
155	871	1363
156	876	1356
157	881	1349
158	886	1342
159	889	1334
160	894	1328
161	899	1321
162	902	1311
163	907	1305
164	911	1298
165	915	1290
166	919	1282
167	923	1275
168	928	1268
169	933	1263
170	937	1255
171	939	1245
172	944	1238
173	948	1231
