localite_xlsx,localite_normalized,sondage_id,sondage_code,maille_code,confiance,notes
Adjengré ( Pounpoun),adjengr,8c73cf00-ecef-40ca-9b74-bdf37b086d6c,Adjengré (Pounpoun),TG-0501-0229-01,high,Match direct code/localité (ex: bleu.xlsx)
Adjengré (Pounpouni),adjengr,8c73cf00-ecef-40ca-9b74-bdf37b086d6c,Adjengré (Pounpoun),TG-0501-0229-01,high,Match direct code/localité (ex: Granulométrie.xlsx)
Adjengré (Pounpouni),adjengr,8c73cf00-ecef-40ca-9b74-bdf37b086d6c,Adjengré (Pounpoun),TG-0501-0229-01,high,Match direct code/localité (ex: potentielle_de_gonflement.xlsx)
Agotivé,agotiv,2731964a-0810-474b-b257-d86d4b6707d3,Agotivé,TG-0486-0227-01,high,Match direct code/localité (ex: Granulométrie.xlsx)
Agotivé,agotiv,2731964a-0810-474b-b257-d86d4b6707d3,Agotivé,TG-0486-0227-01,high,Match direct code/localité (ex: bleu.xlsx)
Agotivé,agotiv,2731964a-0810-474b-b257-d86d4b6707d3,Agotivé,TG-0486-0227-01,high,Match direct code/localité (ex: potentielle_de_gonflement.xlsx)
Anié,ani,b9f16a36-8c74-4585-b77a-2a5a978b9e3b,Anié,TG-0615-0214-01,high,Match direct code/localité (ex: Granulométrie.xlsx)
Anié,ani,b9f16a36-8c74-4585-b77a-2a5a978b9e3b,Anié,TG-0615-0214-01,high,Match direct code/localité (ex: bleu.xlsx)
Anié,ani,b9f16a36-8c74-4585-b77a-2a5a978b9e3b,Anié,TG-0615-0214-01,high,Match direct code/localité (ex: potentielle_de_gonflement.xlsx)
Apéyéyémé,apyym,fc1ff1e8-725c-4c37-8aba-c3cececf13fe,Apéyéyémé,TG-0490-0227-01,high,Match direct code/localité (ex: Granulométrie.xlsx)
Apéyéyémé,apyym,fc1ff1e8-725c-4c37-8aba-c3cececf13fe,Apéyéyémé,TG-0490-0227-01,high,Match direct code/localité (ex: bleu.xlsx)
Apéyéyémé,apyym,fc1ff1e8-725c-4c37-8aba-c3cececf13fe,Apéyéyémé,TG-0490-0227-01,high,Match direct code/localité (ex: potentielle_de_gonflement.xlsx)
Badomé,badom,a8c75795-93aa-4c79-b3b0-202cba63058d,Badomé,TG-0486-0227-01,high,Match direct code/localité (ex: Granulométrie.xlsx)
Badomé,badom,a8c75795-93aa-4c79-b3b0-202cba63058d,Badomé,TG-0486-0227-01,high,Match direct code/localité (ex: bleu.xlsx)
Badomé,badom,a8c75795-93aa-4c79-b3b0-202cba63058d,Badomé,TG-0486-0227-01,high,Match direct code/localité (ex: potentielle_de_gonflement.xlsx)
Kadambara,kadambara,8280dbc8-c524-4952-a0b1-4b9221b27d01,Kadambara,TG-0693-0214-01,high,Match direct code/localité (ex: Granulométrie.xlsx)
Kadambara,kadambara,8280dbc8-c524-4952-a0b1-4b9221b27d01,Kadambara,TG-0693-0214-01,high,Match direct code/localité (ex: bleu.xlsx)
Kadambara,kadambara,8280dbc8-c524-4952-a0b1-4b9221b27d01,Kadambara,TG-0693-0214-01,high,Match direct code/localité (ex: potentielle_de_gonflement.xlsx)
Kamina Barrage,kaminabarrage,d4e9406f-219c-4dc2-b094-0015e9c2976a,Kamina Barrage,TG-0621-0239-01,high,Match direct code/localité (ex: Granulométrie.xlsx)
Kamina Barrage,kaminabarrage,d4e9406f-219c-4dc2-b094-0015e9c2976a,Kamina Barrage,TG-0621-0239-01,high,Match direct code/localité (ex: bleu.xlsx)
Kamina Barrage,kaminabarrage,d4e9406f-219c-4dc2-b094-0015e9c2976a,Kamina Barrage,TG-0621-0239-01,high,Match direct code/localité (ex: potentielle_de_gonflement.xlsx)
Kamina Dakré,kaminadakr,b834fec6-e26b-4173-b206-f951c8afb5b0,Kamina Dakré,,high,Match direct code/localité (ex: Granulométrie.xlsx)
Kamina Dakré,kaminadakr,b834fec6-e26b-4173-b206-f951c8afb5b0,Kamina Dakré,,high,Match direct code/localité (ex: bleu.xlsx)
Kamina Dakré,kaminadakr,b834fec6-e26b-4173-b206-f951c8afb5b0,Kamina Dakré,,high,Match direct code/localité (ex: potentielle_de_gonflement.xlsx)
