col_0,col_1,col_2,col_3,col_4
,Ouverture des tamis (mm),Masse de  refus  cumulés  (g),refus  cumulés  (%),Passants  (%)
,16,0,0,100
,12.5,2.3,0.08,99.92
,10,2.3,0.08,99.92
,8,6,0.22,99.78
,6.3,14.7,0.54,99.46
,5,27.4,1.01,98.99
,4,39.3,1.45,98.55
,3.15,52,1.92,98.08
,2.5,74.7,2.76,97.24
,2,106.7,3.94,96.06
,1.6,162,5.98,94.02
,1.25,228.3,8.42,91.58
,1,311.4,11.49,88.51
,0.8,409.1,15.09,84.91
,0.63,559,20.62,79.38
,0.5,71.4,26.28,73.72
,0.4,864.5,31.89,68.11
,0.315,1035.1,38.18,61.82
,0.25,1178,43.45,56.55
,0.2,1332.5,49.15,50.85
,0.16,1436,52.98,47.02
,0.125,1505,55.51,44.49
,0.1,1531.5,56.49,43.51
,0.08,1544.2,56.96,43.3
