col_0,col_1,col_2,col_3,col_4
,Ouverture des tamis (mm),Passant par profondeur 1m,"Passant par profondeur 1,5m",Passant par profondeur 2m
,25,100,100,100
,20,100,100,100
,100,100,100,99.72
,12.5,99.89,99.59,98.87
,10,99.79,98.45,95.05
,8,99.62,95.93,90.63
,6.3,99.28,92.46,84.22
,5,98.67,88.4,76.35
Analyse granulométrie par tamisage,4,98.04,84.79,69.38
,3.15,97.5,81.95,63.84
,2.5,96.83,79.4,59.15
,2,96.06,77.45,56.15
,1.6,94.87,75.64,53.56
,1.25,93.46,73.9,51.6
,1,91.9,72.43,49.78
,0.8,90.6,71.1,48.91
,0.63,87.85,69.34,47.48
,0.5,83.14,67.62,46.28
,0.4,80.34,65.9,44.98
,0.315,77.32,63.93,43.63
,0.25,7440,62.25,4.6
,0.2,71.6,60.12,41
,0.16,70.36,58.18,39.32
,0.125,67.38,57.65,38.14
,0.1,67.3,57.42,37.32
,0.08,65.3,57.32,36.66
