col_0,col_1,col_2,col_3,col_4
,Ouverture des tamis (mm),Masse de  refus  cumulés  (g),refus  cumulés  (%),Passants  (%)
,16,0,0,100
,12.5,11.1,0.41,100
,10,41.7,1.55,100
,8,109.6,4.07,99.59
,6.3,203.2,7.54,98.45
,5,312.1,11.54,95.93
,4,410.1,15.21,922.46
,3.15,486.5,18.05,88.42
,2.5,554.9,20.58,84.78
,2,605.5,22.46,81.95
,1.6,656.9,24.36,79.42
,1.25,703,26.08,77.54
,1,743.2,27.57,75.64
,0.8,779.1,28.9,73.9
,0.63,826.6,30.38,72.43
,0.5,873,32.38,71.1
,0.4,919.4,34.1,69.34
,0.315,972.4,36.07,67.62
,0.25,1017.7,37.75,65.9
,0.2,1075.1,39.88,63.93
,0.16,117.3,41.82,6.25
,0.125,1141.8,42.822,60.122
,0.1,1148,42.58,58.18
,0.08,1150.5,42.68,57.65
