Taleau 3-5: Récapitulatif des essais de  bleu de méthylène,col_1,col_2,col_3,col_4,col_5
,Référance,Localité/Cantons,profondeur,VBS,Caractéristique
,1,Kévé,1,4.02,Sol  limoneux argileux
,1,Kévé,1.5,3.61,Sol  limoneux argileux
,1,Kévé,2,1.22,Sol  limoneux 
,1,Kévé,Moyenne,2.94,Sol  limoneux 
,2,Assahoum,1,1.83,Sol  limoneux argileux
,2,Assahoum,1.5,3.82,Sol  limoneux argileux
,2,Assahoum,2,2.64,Sol  limoneux argileux
,2,Assahoum,Moyenne,2.76,Sol  limoneux argileux
,3,Badja,1,4.6,Sol  limoneux argileux
,3,Badja,1.5,4.03,Sol  limoneux argileux
,3,Badja,2,5.03,Sol  limoneux argileux
,3,Badja,Moyenne,4.53,Sol  limoneux argileux
