col_0,col_1,col_2,col_3,col_4,col_5
,,,Passants,,
,,Tamis (mm),Tamis 1m,"Tamis 1,5",Tamis 2m
,,0.0667,39.8567,,
,,0.0667,0.0667,,
,,0.0474,0.0474,,
,,0.0306,0.0306,,
,,0.0217,0.0217,,
,,0.0156,0.0156,,
,,0.0111,0.0111,,
,,0.0079,0.0079,,
,,0.0064,0.0064,,
,,0.0046,0.0046,,
,,0.0037,0.0037,,
,,0.0032,0.0032,,
,,0.0027,0.0027,,
,,0.0019,0.0019,,
,,0.0679,,28.9958,
,,0.0483,,27.2447,
,,0.03,,32.4982,
,,0.0222,,18.4713,
,,0.0158,,16.7202,
,,0.0112,,16.7202,
,,0.0079,,16.7202,
,,0.0065,,14.969,
,,0.0046,,15.0058,
,,0.0037,,15.025,
,,0.0033,,13.2931,
,,0.0027,,13.2931,
,,0.0019,,14.934,
,,0.0009,,0.0998,
,,0.0647,,,30.4288
,,0.0647,,,0.1403
,,0.046,,,0.1338
,,0.0295,,,0.1207
,,0.021,,,0.1142
,,0.015,,,0.1012
,,0.0107,,,0.0947
,,0.0076,,,0.0882
,,0.0062,,,0.0882
,,0.0044,,,0.0818
,,0.0036,,,0.0819
,,0.0031,,,0.0819
,,0.0025,,,0.0819
,,0.0018,,,0.0815
