col_0,col_1,col_2,col_3,col_4,col_5
,Tableau 3-4: Analyse granulométrique par sedimentation de Lama feing,,,,
,Nature de l'analyse granulométrique,Ouverture du tamis 1(mm),"passant 1,5 m",passant 1 m,passant 2 m
,,0.0014,15.61,19.17,19.48
,,0.0023,18.06,21.29,21.89
,,0.0029,18.87,22.34,25.52
,,0.0033,19.69,22.34,27.94
,,0.004,20.51,24.46,30.36
,,0.0056,22.14,25.52,32.77
,,0.009,25.4,28.67,37.61
,,0.0156,26.22,32.9,40.04
,,0.0262,27.85,37.12,50.92
,,0.0379,28.67,48.95,82.35
,,0.0522,35.2,74.14,90.57
,,0.0729,66.07,82.61,94.44
