col_0,col_1,col_2,col_3,col_4,col_5
,Tableau 3-4: Analyse granulométrique par sedimentation de Bohou,,,,
,Nature de l'analyse granulométrique,Ouverture du tamis 1(mm),passant 1 m,"passant 1,5 m",passant 2 m
,,0.0013,13.11,9.28,13.91
,,0.0019,14.79,10.15,15.49
,,0.0023,15.62,10.31,16.55
,,0.0026,16.01,10.55,17.09
,,0.0032,17.3,11.44,18.68
,,0.0045,18.58,12.34,19.74
,,0.0072,20.27,13.67,22.4
,,0.0122,22.37,14.55,23.46
,,0.0209,23.89,15.43,25.59
,,0.0331,24.06,19.82,28.25
,,0.0454,27.43,25.08,32.51
,,0.0613,32.49,32.91,37.83
