col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,Tableau A-2-1 : Analyse granulométrique par tamisage de l'argile bohou (1m),,,,,,
,,Analyse granulométrique par tamisage,ouverture du tamis (mm),M.ref.partiels (g),M.ref.Cum. (g),Ref. part. %,Pas.Cum%
,,,25,0,0,0,100
,,,20,0,0,0,100
,,,16,47.63,47.63,3.45,96.55
,,,12.5,17.27,64.95,1.25,95.29
,,,10,30.17,95.14,2.19,93.1
,,,8,72.47,107.62,5.26,87.85
,,,6.3,22.32,129.98,1.62,86.23
,,,5,25.9,155.88,1.88,84.35
,,,4,33.98,189.94,2.46,81.89
,,,3.15,41.71,231.66,3.03,78.86
,,,2.5,36.57,268.28,2.65,76.21
,,,2,32.75,304.03,2.38,73.83
,,,1.6,31.98,333.01,2.32,71.51
,,,1.25,31.13,364.16,2.26,69.25
,,,1,21.1,385.27,1.53,67.72
,,,0.8,18.42,404.7,1.34,66.39
,,,0.63,20.09,423.81,1.46,64.93
,,,0.5,31.81,455.55,2.31,62.62
,,,0.4,34.9,490.46,2.53,60.09
,,,0.315,48.3,538.7,3.5,56.59
,,,0.25,55.41,594.13,4.02,52.57
,,,0.2,55.1,649.18,4,48.57
,,,0.16,48.09,687.26,3.49,45.09
,,,0.125,62.03,759.27,4.5,40.59
,,,0.1,28.88,788.1,2.09,38.49
,,,0.08,20.64,808.7,1.5,36.99
