col_0,col_1,col_2,col_3,col_4,col_5
,Tableau 3-4: Analyse granulométrique par tamisage de Bohou,,,,
,Nature de l'analyse granulométrique,Ouverture du tamis 1(mm),passant 1 m,"passant 1,5 m",passant 2 m
,,0.08,36.99,38.48,43.05
,,0.1,38.49,39.76,44.25
,,0.125,40.59,41.85,46.09
,,0.16,45.09,46.02,49.52
,,0.2,48.57,49.24,51.57
,,0.25,52.57,53.81,54.48
,,0.315,56.59,57.12,56.16
,,0.4,60.09,60.7,57.9
,,0.5,62.62,63.36,59.13
,,0.63,64.93,65.49,60.4
,,0.8,66.39,66.87,61.26
,,1,67.72,68.14,62.13
,,1.25,69.25,69.4,63.09
,,1.6,71.51,71.15,64.86
,,2,73.83,73.04,67.56
,,2.5,76.21,75.26,71.25
,,3.15,78.86,77.82,75.32
,,4,81.89,81.15,79.42
,,5,84.35,84.09,82.09
,,6.3,86.23,86.95,85.97
,,8,87.85,89.69,90.44
,,10,93.1,91.72,93.72
,,12.5,95.29,93.88,95.16
,,16,96.55,96.6,96.57
,,20,100,98.26,96.57
,,25,100,100,100
