col_0,col_1,col_2,col_3,col_4,col_5
,Tableau 3-4: Analyse granulométrique par tamisage de Lama Tchandé,,,,
,Nature de l'analyse granulométrique,Ouverture du tamis 1(mm),passant 1 m,"passant 1,5 m",passant 2 m
,,0.08,55.72,31.16,62.34
,,0.1,58.4,32.37,63.93
,,0.125,61.08,34.75,66.89
,,0.16,65.64,39.66,72.9
,,0.2,73.23,39.77,76.58
,,0.25,80.33,46.15,79.76
,,0.315,90.86,51.02,81.41
,,0.4,93.92,55.26,82.55
,,0.5,95.66,58.17,83.24
,,0.63,96.56,61.24,83.8
,,0.8,97.09,63.2,84.13
,,1,97.34,64.94,84.46
,,1.25,97.56,66.68,84.78
,,1.6,97.77,69.11,85.25
,,2,98.11,71.83,85.81
,,2.5,98.41,74.93,86.47
,,3.15,98.7,78.64,87.32
,,4,99.04,82.57,88.48
,,5,99.32,84.96,89.15
,,6.3,99.5,87.25,89.68
,,8,99.63,89.26,90.45
,,10,99.63,91.12,90.95
,,12.5,99.77,94.91,91.79
,,16,100,97.69,92.17
,,20,100,98.19,93.26
,,25,100,100,100
