col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,Tableau 3-7 : Récapitulatif des essais de bleu de méthyléne,,,,,,
,,Réf,Cantons ,Localités,Profondeurs (m),VBS,Caractéristiques
,,1,BOHOU,Bohou,1,4.49,Sol limoneux de plasticité moyenne
,,1,BOHOU,Bohou,1.5,3.12,Sol limoneux de plasticité moyenne
,,1,BOHOU,Bohou,2,3.83,Sol limoneux de plasticité moyenne
,,1,BOHOU,MOYENNE BOHOU,,3.81,Sol limoneux de plasticité moyenne
,,2,LAMA,Feing,1,8.75,Sol très argileux
,,2,LAMA,Feing,1.5,9.74,Sol très argileux
,,2,LAMA,Feing,2,9.28,Sol très argileux
,,2,LAMA,MOYENNE FEING,,9.26,Sol très argileux
,,2,LAMA,Tchamdé,1,4.51,Sol limoneux de plasticité moyenne
,,2,LAMA,Tchamdé,1.5,3.78,Sol limoneux de plasticité moyenne
,,2,LAMA,Tchamdé,2,7.78,Sol argileux
,,2,LAMA,MOYENNE TCHAMDE,,5.36,Sol limoneux de plasticité moyenne
