col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
,,,,Tableau 3-5:Analyse granulometrique par tamisage et par sédimentometrie,,,,et par sédimentometrie de l'argile de Badomé,,,
,,,,,,,passants par profondeur (%),,,,
,,,,ouverture  du tamis (mm),,,,,,,
,,,,,,,1 m,,"1,5 m",,2 m
,,,,,0.0728,,64.01,,49.34,,50.34
,,,,,0.0515,,57.03,,35.03,,41.21
,,,,,0.0372,,44.12,,20.27,,29.01
,,Analyse granulometroique,,,0.0239,,39.41,,15.13,,22.18
,,par sedimentation,,,0.0141,,35.75,,10.11,,19.05
,,,,,0.0083,,31.19,,8.26,,12.1
,,,,,0.0052,,26.98,,7.23,,10.07
,,,,,0.0037,,24.79,,6.21,,5.61
,,,,,0.003,,21.11,,6.18,,4.9
,,,,,0.0026,,20.39,,5.02,,5.65
,,,,,0.0021,,19.3,,4.53,,3.23
,,,,,0.0015,,15.63,,4.21,,2.26
