col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
,,,,,,,,OUVERTURE DU TAMIS (mm),masse de refus cumiles,refus cumiles(%),passant(%)
,,,,,,,,8,0,0,100
,,,,,,,,6.3,0,0,100
,,,,,,,,5,0,0,100
,,,,,,,,4,0,0,100
,,,,,,,,3.15,0.17,0.01,99.99
,,,,,Analyse granulometroique,,,2.5,0.97,0.06,99.93
,,,,,par sedimentation,,,2,5.25,0.31,99.62
,,,,,,,,1.6,16.67,0.82,98.8
,,,,,,,,1.25,36.83,1.45,97.35
,,,,,,,,1,57.64,1.5,95.85
,,,,,,,,0.8,84.15,1.91,93.95
,,,,,,,,0.63,113.17,2.09,91.86
,,,,,,,,0.5,162.23,3.53,88.33
,,,,,,,,0.4,210.85,3.5,84.84
,,,,,,,,0.315,298.08,6.27,78.56
,,,,,,,,0.25,348.73,3.64,74.92
,,,,,,,,0.2,405.87,4.11,70.81
,,,,,,,,0.16,443.93,2.74,68.07
,,,,,,,,0.125,487.5,3.13,64.94
,,,,,,,,0.1,556.62,4.97,59.97
,,,,,,,,0.08,515.89,4.26,55.71
