col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
,,,,,,,OUVERTURE DU TAMIS (mm),masse de refus cumiles,refus cumiles(%),passant(%)
,,,,,,,8,0,0,100
,,,,,,,6.3,0,0,1200
,,,,,,,5,0,0,100
,,,,,,,4,0,0,100
,,,,,,,3.15,0.12,0.01,99.99
,,,,,,,2.5,1.89,0.13,99.86
,,,,,,,2,7,0.37,99.5
,,,,,,,1.6,19.08,0.86,98.64
,,,,Analyse granulometroique,,,1.25,35.66,1.19,97.45
,,,,par tamisage,,,1,56.8,1.51,95.94
,,,,,,,0.8,83.67,1.92,94.02
,,,,,,,0.63,110.63,1.93,92.09
,,,,,,,0.5,155.32,3.2,88.89
,,,,,,,0.4,204.69,3.53,85.36
,,,,,,,0.315,261.9,4.09,81.27
,,,,,,,0.25,309.37,3.39,77.88
,,,,,,,0.2,363.59,3.88,74
,,,,,,,0.16,411.96,3.46,70.54
,,,,,,,0.125,461.17,3.52,67.03
,,,,,,,0.1,526.17,4.65,62.38
,,,,,,,0.08,612.17,6.15,56.23
