AGT BADOME,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,,,,OUVERTURE DU TAMIS (mm),masse de refus cumiles,refus cumiles(%),passant(%)
,,,,,8,0,0,100
,,,,,6.3,5.8,0.4,99.6
,,,,,5,8.13,0.16,99.43
,,,,,4,12.38,0.3,99.14
,,,,,3.15,20.79,0.59,98.55
,,,,,2.5,21,0.01,98.54
,,,,,2,27.36,0.44,98.1
,,,,,1.6,33.24,0.41,97.69
,,,,,1.25,36.73,0.24,97.44
,,,,,1,39.22,0.17,97.27
,,,,,0.8,40.83,0.11,97.16
,,,,,0.63,53.82,0.9,96.25
,,,,,0.5,66.96,0.91,95.34
,,,,,0.4,76.28,0.65,94.69
,,,,,0.315,84.7,0.59,94.11
,,,,,0.25,90.98,0.44,93.67
,,,,,0.2,97.41,0.45,90.02
,,,,,0.16,101.92,0.31,85.23
,,,,,0.125,106.27,0.3,80.04
,,,,,0.1,111.16,0.34,70.14
,,,,,0.08,191.08,5.56,60.09
