col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
,,,,,,,OUVERTURE DU TAMIS (mm),masse de refus cumiles,refus cumiles(%),passant(%)
,,,,,,,8,0,0,100
,,,,,,,6.3,4.01,0.3,99.7
,,,,,,,5,4.33,0.02,99.67
,,,,,,,4,7.85,0.27,99.4
,,,,Analyse granulometroique,,,3.15,12.88,0.38,99.02
,,,,par tamisage,,,2.5,17.35,0.34,98.68
,,,,,,,2,23.09,0.44,98.25
,,,,,,,1.6,32.64,0.72,97.52
,,,,,,,1.25,46.54,1.05,96.47
,,,,,,,1,57.72,0.85,95.62
,,,,,,,0.8,69.57,0.9,94.72
,,,,,,,0.63,81.4,0.9,93.82
,,,,,,,0.5,98.73,1.31,92.51
,,,,,,,0.4,114.62,1.27,91.3
,,,,,,,0.315,135.19,1.56,89.74
,,,,,,,0.25,155.03,1.51,88.24
,,,,,,,0.2,178.84,1.81,86.43
,,,,,,,0.16,196.99,1.38,85.06
,,,,,,,0.125,218.04,1.6,83.46
,,,,,,,0.1,305.04,6.6,76.86
,,,,,,,0.08,370.04,4.93,71.93
