col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
,,,,,,,OUVERTURE DU TAMIS (mm),masse de refus cumiles,refus cumiles(%),passant(%)
,,,,,,,8,0,0,100
,,,,,,,6.3,4.28,0,99.71
,,,,,,,5,13.94,0.29,99.05
,,,,,,,4,19.99,0.66,98.63
,,,,,,,3.15,21.5,0.41,98.53
,,,,,,,2.5,83.2,0.1,97.96
,,,,,,,2,89.01,4.21,97.56
,,,,,,,1.6,93.67,0.4,97.24
,,,,,,,1.25,133.58,0.32,94.52
,,,,,,,1,136.43,2.73,94.32
,,,,,,,0.8,148.64,0.19,93.49
,,,,,,,0.63,163.76,0.83,92.46
,,,,,,,0.5,180.73,1.03,91.3
,,,,,,,0.4,193.13,1.16,90.45
,,,,,,,0.315,204.18,0.85,89.52
,,,,,,,0.25,212.35,0.75,88.96
,,,,,,,0.2,220.42,0.56,88.41
,,,,,,,0.16,226.15,0.55,88.02
,,,,,,,0.125,231.47,0.39,87.66
,,,,,,,0.1,236.65,0.36,76.01
,,,,,,,0.08,23678,0.35,67.12
