col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
,,,,,,,OUVERTURE DU TAMIS (mm),masse de refus cumiles,refus cumiles(%),passant(%)
,,,,,,,8,0,0,100
,,,,,,,6.3,0,0,100
,,,,,,,5,0,0,100
,,,,,,,4,0,0,100
,,,,,,,3.15,0.17,0.01,99.99
,,,,,,,2.5,0.97,0.06,99.93
,,,Analyse granulometroique,,,,2,5.25,0.31,99.62
,,,par tamisage,,,,1.6,16.67,0.82,98.8
,,,,,,,1.25,36.83,1.45,97.35
,,,,,,,1,57.64,1.5,95.85
,,,,,,,0.8,84.15,1.91,93.95
,,,,,,,0.63,113.17,2.09,91.86
,,,,,,,0.5,162.23,3.53,88.33
,,,,,,,0.4,210.85,3.5,84.84
,,,,,,,0.315,276.81,4.74,80.09
,,,,,,,0.25,337.46,4.36,75.73
,,,,,,,0.2,394.6,4.11,71.62
,,,,,,,0.16,432.66,2.74,68.88
,,,,,,,0.125,476.23,3.13,65.75
,,,,,,,0.1,565.23,6.4,59.35
,,,,,,,0.08,664.23,7.12,52.23
