col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
,,,,,,,OUVERTURE DU TAMIS (mm),masse de refus cumiles,refus cumiles(%),passant(%)
,,,,,,,8,0,0,100
,,,,,,,6.3,0,0,100
,,,,,,,5,0.23,0.02,99.98
,,,,,,,4,0.26,0,99.98
,,,,,,,3.15,0.41,0.01,99.97
,,,,,,,2.5,1.83,0.1,99.87
,,,,,,,2,7.19,0.39,99.48
,,,,Analyse granulometroique,,,1.6,19.05,0.85,98.63
,,,,par tamisage,,,1.25,40.67,1.56,97.07
,,,,,,,1,61.97,1.53,95.53
,,,,,,,0.8,88.93,1.94,93.59
,,,,,,,0.63,118.16,2.11,91.49
,,,,,,,0.5,164.72,3.36,88.13
,,,,,,,0.4,209.02,3.19,84.94
,,,,,,,0.315,262.27,3.84,81.1
,,,,,,,0.25,314.32,3.75,77.35
,,,,,,,0.2,375.14,4.38,72.97
,,,,,,,0.16,414.37,2.83,70.14
,,,,,,,0.125,455.15,2.94,67.2
,,,,,,,0.1,487.63,2.34,64.86
,,,,,,,0.08,546.59,4.25,60.61
