col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
,,,,,,REFERENCE,QUARTIER,PROFONDEURS,GRANDEURS,,
,,,,,,,,,Wi,Wp,Ip
,,,,,,1,Apeyeme,1,41.8,22,19.8
,,,,,,,Apeyeme,1.5,43.39,23,20.39
,,,,,,,Apeyeme,2,40.91,22,18.91
,,,,,,,,MOYENNE,42.03,22.33,19.7
,,,,,,2,DJOGBEKOPE,1,46.25,23.6,22.65
,,,,,,,DJOGBEKOPE,1.5,44.49,19.8,24.8
,,,,,,,DJOGBEKOPE,2,41.64,19,22.6
,,,,,,,,MOYENNE,44.13,20.8,23.35
,,,,,,3,BADOME,1,69.96,37,32.96
,,,,,,,BADOME,1.5,37.74,19,18.74
,,,,,,,BADOME,2,46.5,31,15.5
,,,,,,,,MOYENNE,51.4,29,22.4
