code,date,source,lat,lon,depth_m,passant_80um,passant_2mm,passant_20mm,wl,wp,vbs,gamma_d_max,w_opt,proctor_type,eg,laboratory,norm
 ,2025-10-20 00:00:00, GAMBAGA Inoussa,10.3186,0.497,1.0,80.3,89.8,97.0,47.9,39.6,5.42,16.12,22.9,normal,5.33,Lab C - Sokodé,NF P94-051
 ,2025-10-20 00:00:00, GAMBAGA Inoussa,10.3186,0.497,3.4,85.4,96.2,95.5,45.5,22.9,5.27,15.74,21.2,normal,3.88,Lab C - Sokodé,NF P94-051
,2025-10-20 00:00:00, GAMBAGA Inoussa,,,,,,,,,,,,,,,
,2025-10-20 00:00:00, GAMBAGA Inoussa,,,,,,,,,,,,,,,
,2025-10-20 00:00:00, GAMBAGA Inoussa,,,,,,,,,,,,,,,
,2025-10-20 00:00:00, GAMBAGA Inoussa,,,,,,,,,,,,,,,
,2025-10-20 00:00:00, GAMBAGA Inoussa,,,,,,,,,,,,,,,
,2025-10-20 00:00:00, GAMBAGA Inoussa,,,,,,,,,,,,,,,
,2025-10-20 00:00:00, GAMBAGA Inoussa,,,,,,,,,,,,,,,
,2025-10-20 00:00:00, GAMBAGA Inoussa,,,,,,,,,,,,,,,
,2025-10-20 00:00:00, GAMBAGA Inoussa,,,,,,,,,,,,,,,
,2025-10-20 00:00:00, GAMBAGA Inoussa,,,,,,,,,,,,,,,
,2025-10-20 00:00:00, GAMBAGA Inoussa,,,,,,,,,,,,,,,
,2025-10-20 00:00:00, GAMBAGA Inoussa,,,,,,,,,,,,,,,
,2025-10-20 00:00:00, GAMBAGA Inoussa,,,,,,,,,,,,,,,
,2025-10-20 00:00:00, GAMBAGA Inoussa,,,,,,,,,,,,,,,
