Ouverture du tamis (mm),1m,"1,5m",2m
25,100,100,100
20,100,100,100
16,100,100,100
12.5,99.75,100,99.47
10,98.87,99.7,99.47
8,98.5,99.7,99.4
6.3,98.22,99.61,99.36
5,97.95,99.59,99.34
4,97.54,99.51,99.25
3.15,96.56,99.33,99.05
2.5,95.72,99.07,98.89
2,95.09,98.62,98.71
1.6,94.58,98.03,98.54
1.25,94.21,97.38,98.28
1,93.96,96.87,98.03
0.8,93.7,96.29,97.75
0.63,93.45,95.77,97.4
0.5,93.06,95.02,96.67
0.4,92.67,94.46,95.91
0.315,91.88,93.23,94.04
0.25,91,91.88,91.73
0.2,89.69,87.92,84.86
0.16,88.25,85.7,80.61
0.125,85.5,80.41,73.48
0.1,83.77,78.65,70.87
0.08,82.81,77.5,68.75
