col_0,col_1,col_2,col_3,col_4,AGT Tchitchao,col_6,col_7
,,,,Tamis,Passant par profondeur 1m ,"Passant par profondeur 1,5m",Passant par profondeur 2m
,,,,25,100,100,100
,,,,20,95.84,100,100
,,,,16,94.65,99.56,100
,,,,12.5,94.92,99.56,100
,,,,10,94.06,99.56,100
,,,,8,93.67,99.43,99.94
,,,,6.3,92.85,99.43,99.87
,,,,5,92.39,99.14,99.74
,,,,4,91.97,98.96,99.48
,,,,3.15,91.59,98.64,98.96
,,,,2.5,91.35,98.42,98.63
,,,,2,91.21,98.17,98.31
,,,,1.6,91.04,97.94,97.98
,,,,1.25,90.88,97.66,97.64
,,,,1,90.74,97.44,97.33
,,,,0.8,90.59,97.15,96.92
,,,,0.63,90.41,96.78,96.33
,,,,0.5,90.09,95.9,94.96
,,,,0.4,89.64,94.82,93.37
,,,,0.315,88.8,87.48,90.15
,,,,0.25,87.46,82.36,85.73
,,,,0.2,84.81,71.72,79.41
,,,,0.16,81.33,67.23,73.81
,,,,0.125,72.63,62.68,64.93
,,,,0.1,69.16,61.43,60.64
,,,,0.08,66.38,60.77,58.36
