col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,,,,Tamis,Masse de refus cumulées,Refus cumulés,Passants (%)
,,,,20,0,0,100
,,,,16,6.32,0.44,99.56
,,,,12.5,6.32,0.44,99.56
,,,,10,6.32,0.44,99.56
,,,,8,8.27,0.57,99.43
,,,,6.3,8.27,0.57,99.43
,,,,5,12.44,0.86,99.14
,,,,4,14.93,1.04,98.96
,,,,3.15,19.51,1.36,98.64
,,,,2.5,22.8,1.58,98.42
,,,,2,26.29,1.83,98.17
,,,,1.6,29.66,2.06,97.94
,,,,1.25,33.69,2.34,97.66
,,,,1,36.81,2.56,97.44
,,,,0.8,41,2.85,97.15
,,,,0.63,46.34,3.22,96.78
,,,,0.5,58.98,4.1,95.9
,,,,0.4,74.61,5.18,94.82
,,,,0.315,180.16,12.52,97.48
,,,,0.25,253.79,17.64,82.36
,,,,0.2,406.85,28.28,71.72
,,,,0.16,411.45,32.77,67.23
,,,,0.125,536.89,37.32,62.68
,,,,0.1,554.9,38.57,61.43
,,,,0.08,564.42,39.23,60.77
