AGT,col_1,col_2,col_3,col_4,col_5,col_6
,,,Tamis,Masse de refus cumulées,Refus cumulés,Passants (%)
,,,20,0,0,100
,,,16,0,0,100
,,,12.5,0,0,100
,,,10,0,0,100
,,,8,0.78,0.06,99.94
,,,6.3,1.72,0.013,99.87
,,,5,3.59,0.26,99.74
,,,4,7.04,0.52,99.48
,,,3.15,14.19,1.04,98.96
,,,2.5,18.6,1.37,98.63
,,,2,23.03,1.69,98.31
,,,1.6,27.45,2.02,97.98
,,,1.25,32.2,2.36,97.64
,,,1,36.37,2.67,97.33
,,,0.8,41.94,3.08,96.92
,,,0.63,49.98,3.67,96.33
,,,0.5,68.69,5.04,94.96
,,,0.4,90.31,6.63,93.37
,,,0.315,134.2,9.85,90.15
,,,0.25,194.3,14.27,85.73
,,,0.2,280.46,20.59,79.41
,,,0.16,356.73,26.19,73.81
,,,0.125,477.62,35.07,64.93
,,,0.1,536,39.36,60.64
,,,0.08,567.15,41.64,58.36
