col_0,col_1,col_2,AGT Yade,col_4,col_5
,,Tamis,Passant par profondeur 1m ,"Passant par profondeur 1,5m",Passant par profondeur 2m
,,25,100,100,100
,,20,100,100,100
,,16,100,100,100
,,12.5,99.39,100,100
,,10,99.22,100,100
,,8,99.01,100,100
,,6.3,98.59,100,100
,,5,97.85,100,99.96
,,4,96.41,99.98,99.82
,,3.15,92.66,99.83,99.43
,,2.5,88.77,99.57,98.88
,,2,85.04,99.22,98.15
,,1.6,82.1,98.85,97.11
,,1.25,80.05,98.01,94.99
,,1,79.02,97.59,92.77
,,0.8,78.01,97.01,89.8
,,0.63,77.08,96.35,87.43
,,0.5,75.98,94.97,82.26
,,0.4,74.85,93.73,78.41
,,0.315,73.28,89.3,73.89
,,0.25,71.44,84.24,69.2
,,0.2,68.64,78.66,62.9
,,0.16,66.03,73.18,58.14
,,0.125,61.74,67.47,49.23
,,0.1,58.71,66.09,45.04
,,0.08,57.05,65,42.49
