col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,,,,Tamis,Masse de refus cumulées,Refus cumulés,Passants (%)
,,,,20,0,0,100
,,,,16,0,0,100
,,,,12.5,0,0,100
,,,,10,0,0,100
,,,,8,0,0,100
,,,,6.3,0,0,100
,,,,5,0.63,0.04,99.96
,,,,4,2.52,0.18,99.82
,,,,3.15,8.13,0.57,99.43
,,,,2.5,15.9,1.12,98.88
,,,,2,26.14,1.85,98.15
,,,,1.6,40.91,2.89,97.11
,,,,1.25,71.01,5.01,94.99
,,,,1,102.4,7.23,92.77
,,,,0.8,144.55,10.2,89.8
,,,,0.63,178.02,12.57,87.43
,,,,0.5,251.26,17.74,82.26
,,,,0.4,305.86,21.59,78.41
,,,,0.315,369.93,26.11,73.89
,,,,0.25,436.28,30.8,69.2
,,,,0.2,525.56,37.1,62.9
,,,,0.16,592.92,41.86,58.14
,,,,0.125,719.14,50.77,49.23
,,,,0.1,778.57,54.96,45.04
,,,,0.08,814.68,57.51,42.49
