col_0,col_1,col_2,col_3,col_4,col_5
,,Tamis,Masse de refus cumulées,Refus cumulés,Passants (%)
,,20,0,0,100
,,16,0,0,100
,,12.5,7.76,0.61,99.39
,,10,9.92,0.78,99.22
,,8,12.57,0.99,99.01
,,6.3,17.83,1.41,98.59
,,5,27.19,2.15,97.85
,,4,45.44,3.59,96.41
,,3.15,92.92,7.34,92.66
,,2.5,142.14,11.23,88.77
,,2,189.37,14.96,85.04
,,1.6,226.52,17.9,82.1
,,1.25,252.49,19.95,80.05
,,1,265.54,20.98,79.02
,,0.8,278.34,21.99,78.01
,,0.63,290.1,22.92,77.08
,,0.5,304.04,24.02,75.98
,,0.4,318.36,25.15,74.85
,,0.315,338.23,26.72,73.28
,,0.25,361.5,28.56,71.44
,,0.2,396.88,31.36,68.64
,,0.16,429.93,33.97,66.03
,,0.125,484.26,38.26,71.74
,,0.1,522.51,41.29,58.71
,,0.08,543.59,42.95,57.05
