Mh,w,Ms,col_3,col_4,col_5,col_6,col_7
700.15,4.22,691.8,,,,,
,,,Tamis,M. ref. (g),Ref. Cum. (g),Ref. Cum. (%),Pas. Cum. (%)
,,,40,0,0,0,100
,,,31.5,0,0,0,100
,,,20,0,0,0,100
,,,10,0,0,0,100
,,,5,0.21,0.21,0.03,99.97
,,,2.5,0.67,0.88,0.13,99.87
,,,1.25,7.04,7.92,1.18,98.82
,,,0.63,49.11,57.03,8.49,91.51
,,,0.315,110.32,167.35,24.91,75.09
,,,0.16,112.04,279.39,41.59,58.41
,,,0.08,52.6,331.99,49.42,50.58
,,,0.057,,,,46.77
,,,0.0415,,,,44.35
,,,0.0318,,,,41.45
,,,0.02,,,,39.03
,,,0.012,,,,36.45
,,,0.0071,,,,33.23
,,,0.0046,,,,31.45
