Mh,w,Ms,col_3,col_4,col_5,col_6,col_7
700.07,3.41,676.98,,,,,
,,,Tamis,M. ref. (g),Ref. Cum. (g),Ref. Cum. (%),Pas. Cum. (%)
,,,40,0,0,0,100
,,,31.5,0,0,0,100
,,,20,0,0,0,100
,,,10,0,0,0,100
,,,5,0,0,0,100
,,,2.5,0.05,0.05,0.01,99.99
,,,1.25,3.11,3.16,0.47,99.53
,,,0.63,43.52,46.68,6.9,93.1
,,,0.315,121.25,167.93,24.81,75.19
,,,0.16,108.98,277.91,41.05,58.95
,,,0.08,39.57,317.48,46.9,53.1
,,,0.0615,,,,49.54
,,,0.0445,,,,46.62
,,,0.0335,,,,42.33
,,,0.0218,,,,37.06
,,,0.013,,,,32.18
,,,0.0077,,,,28.28
,,,0.0049,,,,26.33
