A,col_1,col_2,col_3,col_4
,Ouverture du tamis (mm),Masse de refus cumulés (g),Refus cumulés (%),Passants (%)
,25,0,0,100
,20,0,0,100
,16,0,0,100
,12.5,0,0,100
,10,0,0,100
,8,2,2,99.86
,6.3,8.22,6.18,99.43
,5,10.87,2.66,99.24
,4,15.53,4.67,98.91
,3.15,20.47,4.9,98.57
,2.5,25.04,4.59,98.25
,2,32.44,7.4,97.73
,1.6,39.21,6.72,97.26
,1.25,47.04,7.87,96.71
,1,54.05,7.56,96.18
,0.8,65.25,10.57,95.44
,0.63,80.93,15.65,94.35
,0.5,114.86,43.92,91.97
,0.4,142.86,28,90.01
,0.315,216.53,73.65,84.86
,0.25,306.16,89.64,78.58
,0.2,441.06,134.89,69.14
,0.16,488.5,47.45,65.82
,0.125,552.41,63.9,61.34
,0.1,775,22.5,59.77
,0.08,586.28,11.3,58.98
