col_0,col_1,col_2,col_3,col_4
,Ouverture du tamis (mm),Masse de refus cumulés (g),Refus cumulés (%),Passants (%)
,25,0,0,100
,20,0,0,100
,16,0,0,100
,12.5,8.45,8.45,99.4
,10,11.48,3.01,99.18
,8,13.84,2.36,99.01
,6.3,18.46,4.59,98.69
,5,21.01,3.5,98.44
,4,27.14,5.08,98.07
,3.15,34.68,7.45,97.54
,2.5,43.52,8.88,96.91
,2,54.19,10.63,96.15
,1.6,67.48,13.27,95.2
,1.25,84.57,17.08,93.99
,1,102.56,18.02,92.7
,0.8,134.36,31.56,90.45
,0.63,188.54,44.37,87.28
,0.5,250.76,72.2,82.13
,0.4,301.87,50.74,78.52
,0.315,370.87,69.36,73.57
,0.25,435.48,64.68,68.95
,0.2,513.13,78.06,63.39
,0.16,561.5,47.99,59.96
,0.125,613.93,52.45,56.22
,0.1,633.5,19.6,54.82
,0.08,644.89,11.4,54.01
