col_0,col_1,col_2,col_3,col_4
,,AGS Dapaong( Nassablé),,
,Tamis(mm),Tamis 1m,"Tamis 1,5m",Tamis 2m
,0.0279,15.75,,
,0.02,14.46,,
,0.0128,13.18,,
,0.0092,11.89,,
,0.0065,11.25,,
,0.0046,10.61,,
,0.0033,9.97,,
,0.0027,9.98,,
,0.0019,9.35,,
,0.0016,9.35,,
,0.0014,8.72,,
,0.0298,,13.07,
,0.0212,,12.53,
,0.0136,,11.47,
,0.0097,,10.4,
,0.0069,,9.87,
,0.005,,8.81,
,0.0035,,8.28,
,0.0029,,8.29,
,0.002,,8.29,
,0.0017,,7.76,
,0.0014,,7.78,
,0.02701,,,16.73
,0.01921,,,15.88
,0.01223,,,15.03
,0.0087,,,14.17
,0.00619,,,13.31
,0.00438,,,13.31
,0.00313,,,11.61
,0.00256,,,11.61
,0.00182,,,10.77
,0.00148,,,10.78
,0.00129,,,10.78
