col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,AGS Nanergou(Konsogou T1),,,,
,,,,,%Passants,
,,,Tamis (mm),Tamis(1m),"Tamis(1,5m)",Tamis(2m)
,,,0.027,30.32,,
,,,0.0192,29.3,,
,,,0.0123,27.24,,
,,,0.009,23.14,,
,,,0.0064,22.11,,
,,,0.0045,21.08,,
,,,0.0032,20.06,,
,,,0.0027,19.05,,
,,,0.0019,18.05,,
,,,0.0015,18.08,,
,,,0.0013,17.05,,
,,,0.0284,,23.54,
,,,0.204,,22.05,
,,,0.0132,,19.81,
,,,0.0095,,17.57,
,,,0.0068,,16.82,
,,,0.0048,,15.33,
,,,0.0035,,13.85,
,,,0.0028,,13.86,
,,,0.002,,12.4,
,,,0.0017,,11.66,
,,,0.0014,,11.65,
,,,0.0338,,,21.32
,,,0.24,,,20.45
,,,0.153,,,19.58
,,,0.11,,,17.85
,,,0.0078,,,16.98
,,,0.0055,,,16.12
,,,0.004,,,14.38
,,,0.0032,,,14.39
,,,0.0023,,,13.54
,,,0.0019,,,13.55
,,,0.0016,,,12.68
