col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
,,,,,,,,AGT KONSOGOU T2 (1m),,
,,,,,,,Ouverture du tamis (mm),Masse de refus cumulés(g),Refus cumulés (%),Passants (%)
,,,,,,,25,0,0,100
,,,,,,,20,0,0,100
,,,,,,,16,0,0,100
,,,,,,,12.5,3.36,0,100
,,,,,,,10,5.44,0.14,99.86
,,,,,,,8,5.44,0.52,99.34
,,,,,,,6.3,7.02,0.65,98.69
,,,,,,,5,8.87,0.55,98.14
,,,,,,,4,11.51,0.47,97.67
,,,,,,,3.15,15.62,0.76,96.91
,,,,,,,2.5,20.54,0.55,96.36
,,,,,,,2,24.89,0.8,95.56
,,,,,,,1.6,29.15,1.81,93.74
,,,,,,,1.25,34.15,5.16,88.58
,,,,,,,1,37.21,4.78,83.8
,,,,,,,0.8,40.33,7.1,76.7
,,,,,,,0.63,44.1,6.96,69.74
,,,,,,,0.5,51.73,7.23,62.5
,,,,,,,0.4,64.81,5.11,57.39
,,,,,,,0.315,89.97,3.42,53.97
,,,,,,,0.25,134.26,2.4,51.58
,,,,,,,0.2,286.89,2.5,49.08
,,,,,,,0.16,389.62,1.81,47.27
,,,,,,,0.125,559.54,2.06,45.21
,,,,,,,0.1,638.22,1.57,43.64
,,,,,,,0.08,677.09,0.92,42.72
