col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,,,,,AGT KONSOGOU T2 (2m),,
,,,,,Ouverture du tamis (mm),Masse de refus cumulés(g),Refus cumulés (%),Passants (%)
,,,,,25,0,0,100
,,,,,20,96.19,0,100
,,,,,16,111.91,0,100
,,,,,12.5,117.33,0.66,99.34
,,,,,10,129.44,2.1,97.24
,,,,,8,136.69,0.51,96.73
,,,,,6.3,147.55,5.08,91.65
,,,,,5,155.19,7.08,84.57
,,,,,4,164.89,6.82,77.75
,,,,,3.15,181.3,7.35,70.4
,,,,,2.5,193.61,4.14,66.26
,,,,,2,203.13,2.35,63.9
,,,,,1.6,211.23,1.91,61.99
,,,,,1.25,217.83,2.89,59.1
,,,,,1,222.41,2.46,56.64
,,,,,0.8,227.1,2.58,54.06
,,,,,0.63,231.84,1,53.06
,,,,,0.5,239.86,2.17,50.88
,,,,,0.4,249.7,1.48,49.4
,,,,,0.315,266.08,1.26,48.14
,,,,,0.25,289.71,0.97,47.18
,,,,,0.2,335.07,0.96,46.21
,,,,,0.16,387.67,0.91,45.3
,,,,,0.125,473.36,1.4,43.9
,,,,,0.1,515.59,0.77,43.12
,,,,,0.08,538.32,0.34,42.78
