col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,,,,,"AGT KONTONGBONGUE  (1,5m)",,
,,,,,Ouverture du tamis (mm),Masse de refus cumulés(g),Refus cumulés (%),Passants (%)
,,,,,25,100,0,100
,,,,,20,23.69,0,100
,,,,,16,46.46,0,100
,,,,,12.5,83.63,0,100
,,,,,10,113.17,1.96,98.04
,,,,,8,140.85,1.45,96.59
,,,,,6.3,178.35,2.5,94.1
,,,,,5,217.57,2.08,92.02
,,,,,4,257.57,1.87,90.15
,,,,,3.15,303.14,2.21,87.94
,,,,,2.5,338.2,2.25,85.69
,,,,,2,368.57,2.26,83.42
,,,,,1.6,394.39,2.26,81.16
,,,,,1.25,418.32,2.9,78.27
,,,,,1,435.44,2.28,75.98
,,,,,0.8,452.86,2.75,73.23
,,,,,0.63,471.59,2.36,70.88
,,,,,0.5,500.6,3.03,67.84
,,,,,0.4,536.93,2.53,67.31
,,,,,0.315,585.66,2.36,62.95
,,,,,0.25,630.87,2.01,60.94
,,,,,0.2,693.16,2.25,58.69
,,,,,0.16,737,1.93,56.76
,,,,,0.125,793.91,1.91,54.85
,,,,,0.1,822.25,1.61,53.24
,,,,,0.08,835.62,0.77,52.47
