col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,,quartiers,profondeurs,teneurs en eau,WL,IS,caractéristiques
,,Konsogou T1,1,3.865,23,2.739,Gonflement faible
,,Konsogou T1,1.5,8.777,32,4.009,Gonflement faible
,,Konsogou T1,2,8.829,31,2.542,Gonflement faible
,,Konsogou T2,1,3.603,27.8,3.177,Gonflement faible
,,Konsogou T2,1.5,4.286,20.6,1.694,Gonflement faible
,,Konsogou T2,2,6.147,25,1.402,Gonflement faible
,,Nassablé,1,3.856,27.9,2.67,Gonflement faible
,,Nassablé,1.5,3.246,20.6,1.612,Gonflement faible
,,Nassablé,2,5.85,28,2.652,Gonflement faible
,,Kontongbongue,1,59.005,64,8.584,Gonflemen télevé
,,Kontongbongue,1.5,9.374,47.2,3.972,Gonflement moyen
,,Kontongbongue,2,8.445,38.75,2.072,Gonflement moyen
