col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
,Taleau  3-12: Résultats des essais d' analyse granulométriques des melanges,,,,,,,,
,,,Pourcentage des passants cumulés,,,,,,
,,Diamètre destamis (mm) ,0.05,0.1,0.15,0.2,0.25,0.3,0.35
,,31.5,100,100,100,100,100,100,100
,,25,97,99,100,97,96,96,99
,,20,92,94,94,93,88,92,96
,,16,90,87,89,90,84,87,87
,,12.5,88,91,85,87,80,82,83
,,10,86,75,81,83,78,80,77
,,8,83,71,69,78,72,78,68
,,6.3,78,64,62,70,62,76,61
,,5,71,57,52,61,56,74,50
,,4,65,50,41,51,46,56,40
,,3.15,51,41,31,40,37,48,32
,,2.5,41,33,25,31,29,38,25
,,2,34,27,22,26,23,30,23
,,1.6,30,25,20,24,22,24,21
,,1.25,29,23,19,22,20,23,20
,,1,28,22,18,21,19,20,19
,,0.8,26,21,17,20,18,19,18
,,0.63,25,20,17,19,17,18,18
,,0.5,24,19,16,18,16,17,17
,,0.4,23,18,15,17,15,16,16
,,0.315,22,17,14,17,14,15,15
,,0.25,21,16,14,16,13,14,15
,,0.2,20,15,13,15,13,13,14
,,0.16,19,14,13,14,12,12,14
,,0.125,18,13,12,13,11,11,13
,,0.1,18,12,11,12,10,10,12
,,0.08,17,12,11,12,10,10,12
