N,Localités,1,1.5,2,1,1.5,2
1,Akéi,1.75,1.73,1.71,Faible,Faible,Faible
2,Alibi,4.23,1.73,1.67,Moyen,Faible,Faible
3,Bassar ( kpankissi),2.73,2.48,2.44,Moyen,Faible,Faible
4,Bitchabé,1.01,1.37,1.37,Faible,Faible,Faible
5,Dimouri,1.02,1.37,1.03,Faible,Faible,Faible
6,Kabou(okpandoukpo),1.03,0.94,1.61,Faible,Faible,Faible
7,Komah,4.65,3.07,2.47,Moyen,Moyen,Faible
8,Korbongou,4.33,0.29,2.12,Moyen,Moyen,Faible
9,Kparatao,6.13,2.81,4.92,Forte,Moyen,Moyen
10,Lama-tessi,7.53,6.4,6.13,Forte,Forte,Forte
11,Pittah,1.95,1.93,1.87,Faible,Faible,Moyen
12,Sanfatoute,4.39,4.42,2.88,Moyen,Moyen,Moyen
13,Tchalo,1.66,1.02,1.34,Faible,Faible,Faible
14,Tchamba,1.02,1.04,2.71,Faible,Faible,Moyen
15,Tchamdè,0.7,0.79,0.78,Faible,Faible,Faible
16,Tchitchao,6.8,7.62,6.68,Forte,Forte,Forte
17,Yade,7.29,7.94,6.84,Forte,Forte,Forte
