col_0,col_1,taleau33analyse_granulométriquepar_timisage_et_sédimentometrie_de_largile,col_3,col_4
,ouverture des tamis (mm),Passant par profondeur 1m,"Passant profondeur 1,5m",Passant profondeur 2m
,25,100,100,100
,20,100,100,100
,100,,99.47,100
,12.5,99.92,99.1,99.33
Analyse granulométrie par tamisage,10,99.92,98.07,98.09
,8,99.78,97.25,95.85
,6.3,99.46,94.48,91.58
,5,98.99,90.23,74.01
,4,98.56,86.15,65.85
,3.15,98.09,81.63,57.61
,2.5,97.26,76.53,49.53
,2,96.08,72.89,45.74
,1.6,94.05,69.22,43.65
,1.25,91.62,66.65,41.93
,1,88.57,60.2,40.08
,0.8,84.98,59.78,38.27
,0.63,78.47,54.6,36.2
,0.5,73.84,50.33,33.91
,0.4,68.26,46.6,31.89
,0.315,61.99,422.43,29.81
,0.25,56.74,39.15,28.81
,0.2,51.07,34.47,26.47
,0.16,47.26,30.27,24.92
,0.125,44.74,27.88,24.33
,0.1,43.76,26.56,24.08
,0.08,43.3,5.7,4.02
