col_0,col_1,col_2,col_3,col_4
,Ouverture des tamis (mm),Masse de  refus  cumulés  (g),refus  cumulés  (%),Passants  (%)
,16,0,0,100
,12.5,3,0.11,99.89
,10,5.5,0.21,99.79
,8,10,0.38,99.62
,6.3,18.9,0.72,99.28
,5,34.9,1.33,98.67
,4,51.2,1.96,98.04
,3.15,65.3,2.49,97.05
,2.5,83,3.17,96.83
,2,103.2,3.94,96.06
,1.6,134.2,5.13,94.87
,1.25,171.1,6.54,93.46
,1,212.1,8.1,91.9
,0.8,255,9.74,90.26
,0.63,318.1,12.15,87.85
,0.5,377.7,14.43,95.57
,0.4,441.3,16.96,83.14
,0.315,514.4,19.65,80.34
,0.25,593.5,22.67,77.32
,0.2,670.1,25.6,74.4
,0.16,743.3,28.4,71.6
,0.125,775.7,29.63,70.36
,0.1,787,30.07,67.47
,0.08,790.7,30.21,65.3
