latitude,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,Référance,Localité/Cantons,profondeur,Teneur en eau,WI,W,Caractéristique
,1,Kévé,1,14.61,53,0.28,Gonflemet  faile
,1,Kévé,1.5,11.29,48,0.23,Gonflemet  faile
,1,Kévé,2,4.4,51,0.08,Gonflemet  faile
,1,Kévé,Moyenne,10.1,50.66,0.2,Gonflemet  faile
,2,Assahoum,1,10.66,24,0.44,Gonflemet  faile
,2,Assahoum,1.5,28.37,41,0.69,Gonflemet  faile
,2,Assahoum,2,20.97,42,0.49,Gonflemet  faile
,2,Assahoum,Moyenne,20,35.66,0.56,Gonflemet  faile
,3,Badja,1,9.29,49,0.19,Gonflemet  faile
,3,Badja,1.5,14.44,53,0.27,Gonflemet  faile
,3,Badja,2,20.65,51,0.4,Gonflemet  faile
,3,Badja,Moyenne,14.29,51,0.28,Gonflemet  faile
