col_0,col_1,col_2,col_3,col_4,col_5
,,AGS OGARO 1,,,
,,,,% Passants,
,,Tamis(mm),Tamis 1m,"Tamis 1,5m",Tamis 2m
,,0.06,0.1637,,
,,0.06,0.2815,,
,,0.043,0.2642,,
,,0.0278,0.2382,,
,,0.0199,0.2209,,
,,0.0142,0.2123,,
,,0.0102,0.195,,
,,0.0072,0.195,,
,,0.059,0.1863,,
,,0.0042,0.1777,,
,,0.0034,0.1777,,
,,0.003,0.1604,,
,,0.0025,0.1604,,
,,0.0017,0.1602,,
,,0.0416,,0.3106,
,,0.0645,,32.6102,
,,0.0459,,31.3818,
,,0.0294,,28.9252,
,,0.0209,,27.6968,
,,0.0149,,26.4685,
,,0.0106,,25.2401,
,,0.0075,,24.0118,
,,0.0062,,22.7834,
,,0.0042,,22.7834,
,,0.0036,,21.5673,
,,0.0031,,21.5673,
,,0.0025,,21.5809,
,,0.0018,,21.4961,
,,0.0426,,,0.122
,,0.062,,,17.4931
,,0.0444,,,16.3475
,,0.0283,,,15.7746
,,0.0203,,,14.629
,,0.0145,,,13.4833
,,0.0103,,,12.9105
,,0.0074,,,12.3377
,,0.006,,,12.3319
,,0.0043,,,11.7648
,,0.0035,,,11.7648
,,0.003,,,11.1977
,,0.0025,,,11.1977
,,0.0018,,,11.1754
