col_0,col_1,col_2,col_3,col_4,col_5
,,AGT OGARO,,,
,,,,% Passants,
,,Tamis (mm),Tamis 1m,"Tamis 1,5m",Tamis 2m
,,20,100,100,100
,,16,98.07,100,99.28
,,12.5,95.06,100,97.09
,,8,74.89,98,93.14
,,6.3,60.74,96.01,90.26
,,5,52.62,93.03,86.92
,,3.15,34.29,87.63,73.27
,,2.5,29,85.86,67.77
,,1.25,23.2,82.69,59.89
,,1,22.37,82.33,59.2
,,0.8,21.43,81.96,58.58
,,0.63,20.66,81.53,57.97
,,0.4,19.24,79.41,55.41
,,0.315,17.97,76.18,51.56
,,0.25,15.58,70.82,44.87
,,0.2,11.65,62.5,36.4
,,0.16,8.09,56.17,30.75
,,0.15,3.93,49.55,24.55
,,0.1,1.3,45.35,21.89
,,0.08,0.32,43.65,20.63
,,MF,0.29,32.61,18.07
