col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,Tableau A-2-1 : Analyse granulométrique par sédimentation de l'argile bohou (1m),,,,,,
,,Analyse granulométrique par sédimentation,ouverture du tamis (mm),M.ref.partiels (g),M.ref.Cum. (g),Ref. part. %,Pas.Cum%
,,,0.0613,                -,                -,                -,32.49
,,,0.0454,                -,                -,                -,27.43
,,,0.0331,                -,                -,                -,24.06
,,,0.0209,                -,                -,                -,23.89
,,,0.0122,                -,                -,                -,22.37
,,,0.0072,                -,                -,                -,20.27
,,,0.0045,                -,                -,                -,18.58
,,,0.0032,                -,                -,                -,17.3
,,,0.0026,                -,                -,                -,16.01
,,,0.0023,                -,                -,                -,16.62
,,,0.0019,                -,                -,                -,14.79
,,,0.0013,                -,                -,                -,13.11
