col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,"Tableau A-2-5 : Analyse granulométrique par sédimentation de l'argile DE Lama feing (1,5m)",,,,,,
,,Analyse granulométrique par sédimentation,ouverture du tamis (mm),M.ref.partiels (g),M.ref.Cum. (g),Ref. part. %,Pas.Cum%
,,,0.0702,               -,               -,               -,82.61
,,,0.0513,               -,               -,               -,74.14
,,,0.0394,               -,               -,               -,48.95
,,,0.0258,               -,               -,               -,37.12
,,,0.0151,               -,               -,               -,32.9
,,,0.0088,               -,               -,               -,28.67
,,,0.0054,               -,               -,               -,25.52
,,,0.0039,               -,               -,               -,24.46
,,,0.0032,               -,               -,               -,22.34
,,,0.0027,               -,               -,               -,22.34
,,,0.0022,               -,               -,               -,21.29
,,,0.0016,               -,               -,               -,19.17
