col_0,col_1,col_2,col_3,col_4,col_5
,Tableau 3-4: Analyse granulométrique par tamisage de Lama Feing,,,,
,Nature de l'analyse granulométrique,Ouverture du tamis 1(mm),passant 1 m,"passant 1,5 m",passant 2 m
,,0.08,74.6,86.36,95.25
,,0.1,75.63,87.75,95.67
,,0.125,77.04,89.76,96.19
,,0.16,78.98,92.39,96.81
,,0.2,80.33,93.15,97.18
,,0.25,81.75,93.98,97.53
,,0.315,82.71,94.49,97.76
,,0.4,83.62,94.9,97.98
,,0.5,84.31,95.22,98.15
,,0.63,85.08,95.59,98.37
,,0.8,85.68,95.88,98.51
,,1,86.47,96.28,98.7
,,1.25,87.49,96.76,98.88
,,1.6,89.2,97.47,99.12
,,2,91.62,98.22,99.34
,,2.5,94.33,98.99,99.56
,,3.15,96.67,99.58,99.75
,,4,98.46,99.93,99.86
,,5,99.2,100,99.94
,,6.3,99.42,100,100
,,8,99.73,100,100
,,10,100,100,100
