col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
,,,,,,Tableau 3-5:Analyse granulometrique par tamisage et par sédimentometrie,,,,et par sédimentometrie de l'argile de Badomé,,,
,,,,,,,,,passants par profondeur (%),,,,
,,,,,,ouverture  du tamis (mm),,,,,,,
,,,,,,,,,1 m,,"1,5 m",,2 m
,,,,,,,0.0728,,56,,49,,50.34
,,,,,,,0.0515,,46.05,,35,,41
,,,,,,,0.0372,,41.67,,28.94,,35.59
,,,,,,,0.0239,,38.75,,27.6,,32.81
,,,,,,,0.141,,33.65,,23.57,,28.63
,,,Analyse granulometroique,,,,0.0083,,28.53,,19.54,,24.45
,,,par sedimentometrie,,,,0.0052,,25.61,,15,,21.68
,,,,,,,0.0037,,22.97,,15,,20.29
,,,,,,,0.003,,22.68,,14.15,,19.18
,,,,,,,0.0026,,21.96,,13.48,,18.9
,,,,,,,0.0021,,21.25,,13.51,,17.78
,,,,,,,0.0015,,20.06,,28.84,,16.8
