col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
,,,,,Tableau 3-5:Analyse granulometrique par tamisage et par sédimentometrie,,,,et par sédimentometrie de l'argile de Badomé,,,
,,,,,,,,passants par profondeur (%),,,,
,,,,,ouverture  du tamis (mm),,,,,,,
,,,,,,,,1 m,,"1,5 m",,2 m
,,,,,,0.0728,,55,,45,,46
,,,,,,0.0515,,47.93,,32,,33
,,,,,,0.0372,,43.37,,30,,29.84
,,Analyse granulometroique,,,,0.0239,,40.34,,25.88,,27.51
,,par sedimentometrie,,,,0.141,,35.02,,22.1,,24
,,,,,,0.0083,,29.69,,18.32,,20.5
,,,,,,0.0052,,26.66,,15,,18.18
,,,,,,0.0037,,23.91,,14,,17.01
,,,,,,0.003,,23.61,,13.27,,16.08
,,,,,,0.0026,,22.86,,12.64,,15.85
,,,,,,0.0021,,22.12,,12.67,,14.91
,,,,,,0.0015,,20.88,,12.04,,14.09
