col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
,,,,,REFERENCE,QUARTIER,PROFONDEURS,VBS,CARACTERISTIQUE
,,,,,1,Apeyeme,1,0.7,sol sablo limoneux sensible a l'eau
,,,,,,Apeyeme,1.5,0.79,sol sablo limoneux sensible a l'eau
,,,,,,Apeyeme,2,0.78,sol sablo limoneux sensible a l'eau
,,,,,,,MOYENNE,0.76,sol sablo limoneux sensible a l'eau
,,,,,2,DJOGBEKOPE,1,1.95,"sol sabo argileux ,peu plastique"
,,,,,,DJOGBEKOPE,1.5,1.93,"sol sabo argileux ,peu plastique"
,,,,,,DJOGBEKOPE,2,1.87,"sol sabo argileux ,peu plastique"
,,,,,,,MOYENNE,1.92,"sol sabo argileux ,peu plastique"
,,,,,3,BADOME,1,5.71,sol limoneux de plasticite moyenne
,,,,,,BADOME,1.5,6.96,sol argileux
,,,,,,BADOME,2,7.79,sol argileux
,,,,,,,MOYENNE,6.82,sol argileux
