col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
,,,,,,QUARTIER,PROFONDEURS,classification HRB ,CLASSIICATIOPN UNIFIEE,CLASSIFICATION D'APRES LE BLEU DE METHYLENE
,,,,,,Apeyeme,1,A-7-6 ( Sol argileux),sol fin argileux,sol sablo limoneux sensible a l'eau
,,,,,,Apeyeme,1.5,A-7-6 ( Sol argileux),sol fin argileux,sol sablo limoneux sensible a l'eau
,,,,,,Apeyeme,2,A-7-6 ( Sol argileux),sol fin argileux,sol sablo limoneux sensible a l'eau
,,,,,,DJOGBEKOPE,1,A-7-6 ( Sol argileux),sol fin argileux,"sol sablo argileux ,peu plastique"
,,,,,,DJOGBEKOPE,1.5,A-7-6 ( Sol argileux),sol fin argileux,"sol sablo argileux ,peu plastique"
,,,,,,DJOGBEKOPE,2,A-7-6 ( Sol argileux),sol grenu argileux,"sol sablo argileux ,peu plastique"
,,,,,,BADOME,1,A-7-5 (SOL ARGILEUX),sol fin silteux,sol limoneux de plasticite 
,,,,,,BADOME,1.5,A-6(sol argileux),sol fin argileux,sol argileux
,,,,,,BADOME,2,A-7-5 (SOL ARGILEUX),sol fin silteux,sol argileux
