ouverture_du_tamismm,retained_pct,retained_pct,passing_pct
16,0,0,100
12.5,5.08,0.37,99.63
10,9.3,0.67,99.33
8,11.65,0.84,99.16
6.3,14.09,1.02,98.98
5,15.89,1.15,98.85
4,17.1,1.23,98.77
3.15,22.48,1.62,98.38
2.5,28,2.02,97.98
2,33.94,2.45,97.55
1.6,43.22,3.12,96.88
1.25,57.6,4.15,95.85
1,71.51,5.16,94.84
0.8,87.18,6.29,93.71
0.63,102.8,7.41,92.59
0.5,125.66,9.06,90.94
0.4,146.22,10.54,89.46
0.315,174.73,12.6,87.4
0.25,204.06,14.72,85.28
0.2,247.57,17.85,82.15
0.16,300.1,21.64,78.36
0.125,400.85,28.91,71.09
0.1,440.23,31.75,68.25
0.08,461.28,33.26,66.74
