col_0,col_1,col_2,col_3,col_4,col_5
,N,Localités,1,1.5,2
,1,Akié,50.94,52.3,57.81
,2,Alibi,58.98,58.67,51.27
,3,Bassar (Kpankissi),44.24,54.02,64.81
,4,Bitchabe,48.52,31.43,33.3
,5,Dimouri,49.36,65.44,58.88
,6,Kabou (okpandoupo),33.85,36.36,39.89
,7,Komah,40.92,42.53,44.56
,8,Korbongou,56.74,54.47,36.13
,9,Kparatao,25.8,22.35,21.78
,10,Lama-tessi,36.26,38.45,41.68
,11,Pitiah,46.42,49.48,44.6
,12,Sanfatoule,52.81,57.5,58.75
,13,Tchalo,26.09,29.83,33.21
,14,Tchamba,39.88,44.92,54.01
,15,Tchamdè,48.51,50.79,57.8
,16,Tchitchao,66.38,60.77,58.36
,,Yade,57.05,65,42.49
