col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,,Tamis,Masse de refus cumulées,Refus cumulés,Passants (%)
,,,20,0,0,100
,,,16,0,0,100
,,,12.5,0,0,100
,,,10,0,0,100
,,,8,0,0,100
,,,6.3,0,0,100
,,,5,0,0,100
,,,4,0.31,0.02,99.98
,,,3.15,2.32,0.17,99.83
,,,2.5,5.79,0.43,99.57
,,,2,10.45,0.78,99.22
,,,1.6,15.4,1.15,98.85
,,,1.25,26.71,1.99,98.01
,,,1,32.31,2.41,97.59
,,,0.8,40.21,2.99,97.01
,,,0.63,49.07,3.65,96.35
,,,0.5,67.51,5.03,94.97
,,,0.4,84.26,6.27,93.73
,,,0.315,143.75,10.7,89.3
,,,0.25,211.67,15.76,84.24
,,,0.2,286.66,21.34,78.66
,,,0.16,360.33,26.82,73.18
,,,0.125,436.94,32.53,67.47
,,,0.1,450.51,33.91,66.09
,,,0.08,470.18,35,65
