col_0,col_1,col_2,col_3,col_4,col_5
,,Ouverture tamis (mm),Passants par profondeur 1m ,"Passants par profondeur 1,5 m",Passants par profondeur 2 m
,,25,100,100,100
,,20,100,100,100
,,16,100,100,100
,,12.5,100,100,99.4
,,10,100,100,99.18
,,8,100,100,99.01
,,6.3,99.97,99.96,98.69
,,5,99.94,99.87,98.44
,,4,99.88,99.83,98.07
,,3.15,99.74,99.56,97.54
,,2.5,99.35,99.1,96.91
,,2,98.68,98.21,96.15
,,1.6,97.61,97.03,95.2
,,1.25,96.11,95.45,93.99
,,1,94.42,93.81,92.7
,,0.8,91.38,91.12,90.45
,,0.63,87.15,87.03,87.28
,,0.5,80.02,79.49,82.13
,,0.4,74.91,75.11,78.51
,,0.315,67.33,67.42,73.57
,,0.25,60.92,61.09,68.95
,,0.2,51.59,55.28,63.38
,,0.16,47.81,51.28,59.96
,,0.125,42.46,47.07,56.22
,,0.1,40.78,45.57,54.82
,,0.08,39.88,44.92,54.01
