col_0,col_1,col_2,col_3,col_4
,Ouverture du tamis (mm),Masse de refus cumulés (g),Refus cumulés (%),Passants (%)
,10,0,0,100
,8,0,0,100
,6.3,0.5,0.5,99.97
,5,0.91,0.42,99.94
,4,1.75,0.81,99.88
,3.15,3.74,1.99,99.74
,2.5,9.41,5.65,99.35
,2,19.05,9.63,98.68
,1.6,34.44,15.4,97.61
,,56.15,,
,,80.67,,
,1.25,56.15,21.65,96.11
,1,80.67,24.5,94.42
,0.8,124.23,43.57,91.39
,0.63,185.89,61.25,87.15
,0.5,288.39,102.84,80.02
,0.4,362.1,73.73,74.91
,0.315,471.4,109.32,67.33
,0.25,563.75,92.38,60.92
,0.2,698.34,134.6,51.59
,0.16,752.82,54.5,41.81
,0.125,829.98,77.16,42.46
,0.1,854.24,24.25,40.78
,0.08,867.15,12.93,39.88
