col_0,col_1,col_2,col_3,col_4,col_5
,,,AGS Dapaong(Kontongbongue),,
,,,,%Passants,
,,Tamis(mm),Tamis 1m,"Tamis 1,5m",Tamis 2m
,,0.0268,35.55,,
,,0.019,35.55,,
,,0.0122,33.22,,
,,0.0087,32.05,,
,,0.0062,30.89,,
,,0.0044,30.89,,
,,0.0031,27.41,,
,,0.0026,28.57,,
,,0.0018,27.44,,
,,0.0015,26.3,,
,,0.0013,25.15,,
,,0.0294,,21.96,
,,0.0211,,20.31,
,,0.0135,,18.65,
,,0.0096,,18.65,
,,0.0068,,17,
,,0.0048,,17,
,,0.0035,,14.52,
,,0.0028,,14.52,
,,0.002,,12.89,
,,0.0017,,12.08,
,,0.0014,,12.09,
,,0.03141,,,20.19
,,0.02251,,,18.61
,,0.01451,,,16.24
,,0.01045,,,13.87
,,0.00748,,,12.29
,,0.00529,,,12.29
,,0.00385,,,8.34
,,0.00313,,,9.13
,,0.00224,,,7.56
,,0.00183,,,6.79
,,0.00159,,,6.8
,,,,,c
