col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,, AGS NAGEROU(KONSOGOU T2),,,
,,,Tamis (mm),Tamis(1m),"Tamis(1,5m)",Tamis(2m)
,,,0.0656,40.23,,
,,,0.0468,38.96,,
,,,0.0304,33.85,,
,,,0.0219,30.03,,
,,,0.0157,27.47,,
,,,0.0112,26.2,,
,,,0.008,23.64,,
,,,0.0066,22.38,,
,,,0.0047,22.39,,
,,,0.0038,21.14,,
,,,0.0033,19.88,,
,,,0.0308,,13.42,
,,,0.0219,,12.73,
,,,0.0141,,10.67,
,,,0.01,,9.98,
,,,0.0072,,8.62,
,,,0.0051,,7.93,
,,,0.0036,,7.23,
,,,0.003,,7.25,
,,,0.0021,,6.57,
,,,0.0017,,6.58,
,,,0.0015,,5.9,
,,,0.0312,,,18.36
,,,0.02236,,,16.98
,,,0.01433,,,15.59
,,,0.01026,,,14.21
,,,0.00735,,,12.83
,,,0.00523,,,12.14
,,,0.00372,,,11.44
,,,0.00304,,,11.44
,,,0.00217,,,10.07
,,,0.00177,,,10.08
,,,0.00154,,,10.08
